meter_id,timestamp,consumption_kwh,voltage,current,frequency
47001635748,2024-06-03T22:19:43Z,1.91,228.5,5.7,50.0
47001635748,2024-06-03T21:19:43Z,0.98,225.1,3.1,50.0
47001635748,2024-06-03T20:19:43Z,1.96,222.7,4.4,50.0
47001635748,2024-06-03T19:19:43Z,0.81,221.3,5.5,50.0
47001635748,2024-06-03T18:19:43Z,1.97,220.0,4.8,50.0
47001635748,2024-06-03T17:19:43Z,1.07,225.1,4.8,50.0
47001635748,2024-06-03T16:19:43Z,1.95,230.7,4.4,50.0
47001635748,2024-06-03T15:19:43Z,1.06,230.8,3.4,50.0
47001635748,2024-06-03T14:19:43Z,1.29,227.1,3.8,50.0
47001635748,2024-06-03T13:19:43Z,1.39,233.1,3.2,50.0
47001635748,2024-06-03T12:19:43Z,1.69,236.4,5.3,50.0
47001635748,2024-06-03T11:19:43Z,1.24,225.4,4.4,50.0
47001635748,2024-06-03T10:19:43Z,1.52,232.5,4.7,50.0
47001635748,2024-06-03T09:19:43Z,0.98,239.3,6.0,50.0
47001635748,2024-06-03T08:19:43Z,0.94,226.6,4.9,50.0
47001635748,2024-06-03T07:19:43Z,1.82,235.4,3.3,50.0
47001635748,2024-06-03T06:19:43Z,1.4,236.3,5.6,50.0
47001635748,2024-06-03T05:19:43Z,0.87,234.9,5.6,50.0
47001635748,2024-06-03T04:19:43Z,1.8,221.9,5.3,50.0
47001635748,2024-06-03T03:19:43Z,1.18,220.7,4.4,50.0
47001635748,2024-06-03T02:19:43Z,1.06,220.1,3.5,50.0
47001635748,2024-06-03T01:19:43Z,0.91,224.8,5.4,50.0
47001635748,2024-06-03T00:19:43Z,1.85,237.1,4.8,50.0
47001635748,2024-06-02T23:19:43Z,1.69,235.7,3.8,50.0
54181199958,2024-06-03T22:19:43Z,0.64,226.0,3.7,50.0
54181199958,2024-06-03T21:19:43Z,1.63,233.9,4.8,50.0
54181199958,2024-06-03T20:19:43Z,1.48,221.0,3.1,50.0
54181199958,2024-06-03T19:19:43Z,1.15,221.5,5.9,50.0
54181199958,2024-06-03T18:19:43Z,1.32,238.8,5.1,50.0
54181199958,2024-06-03T17:19:43Z,0.86,233.7,5.4,50.0
54181199958,2024-06-03T16:19:43Z,0.63,221.9,4.8,50.0
54181199958,2024-06-03T15:19:43Z,1.39,232.0,3.2,50.0
54181199958,2024-06-03T14:19:43Z,1.21,237.3,4.9,50.0
54181199958,2024-06-03T13:19:43Z,1.97,221.6,3.2,50.0
54181199958,2024-06-03T12:19:43Z,0.91,238.6,5.6,50.0
54181199958,2024-06-03T11:19:43Z,1.76,231.6,3.5,50.0
54181199958,2024-06-03T10:19:43Z,0.56,234.6,3.4,50.0
54181199958,2024-06-03T09:19:43Z,1.49,229.9,4.7,50.0
54181199958,2024-06-03T08:19:43Z,1.94,238.2,5.9,50.0
54181199958,2024-06-03T07:19:43Z,0.69,226.7,4.1,50.0
54181199958,2024-06-03T06:19:43Z,0.93,223.7,3.2,50.0
54181199958,2024-06-03T05:19:43Z,0.58,236.3,4.3,50.0
54181199958,2024-06-03T04:19:43Z,0.99,227.2,3.1,50.0
54181199958,2024-06-03T03:19:43Z,1.84,225.2,4.3,50.0
54181199958,2024-06-03T02:19:43Z,0.62,227.6,5.5,50.0
54181199958,2024-06-03T01:19:43Z,1.38,220.9,4.7,50.0
54181199958,2024-06-03T00:19:43Z,1.02,229.4,5.8,50.0
54181199958,2024-06-02T23:19:43Z,0.62,228.0,4.9,50.0
60017070633,2024-06-03T22:19:43Z,1.57,239.6,5.5,50.0
60017070633,2024-06-03T21:19:43Z,1.35,231.1,4.7,50.0
60017070633,2024-06-03T20:19:43Z,1.52,227.5,4.0,50.0
60017070633,2024-06-03T19:19:43Z,0.99,230.7,4.4,50.0
60017070633,2024-06-03T18:19:43Z,0.87,221.6,4.0,50.0
60017070633,2024-06-03T17:19:43Z,1.34,230.5,4.4,50.0
60017070633,2024-06-03T16:19:43Z,0.83,222.4,5.6,50.0
60017070633,2024-06-03T15:19:43Z,1.62,228.2,3.4,50.0
60017070633,2024-06-03T14:19:43Z,1.23,236.3,5.1,50.0
60017070633,2024-06-03T13:19:43Z,1.31,233.2,5.6,50.0
60017070633,2024-06-03T12:19:43Z,1.28,233.6,4.5,50.0
60017070633,2024-06-03T11:19:43Z,0.55,225.1,3.9,50.0
60017070633,2024-06-03T10:19:43Z,1.38,236.5,3.8,50.0
60017070633,2024-06-03T09:19:43Z,1.05,226.5,3.5,50.0
60017070633,2024-06-03T08:19:43Z,1.39,225.0,5.0,50.0
60017070633,2024-06-03T07:19:43Z,1.25,234.3,5.1,50.0
60017070633,2024-06-03T06:19:43Z,1.24,227.8,5.7,50.0
60017070633,2024-06-03T05:19:43Z,1.22,239.3,4.2,50.0
60017070633,2024-06-03T04:19:43Z,1.53,226.3,5.3,50.0
60017070633,2024-06-03T03:19:43Z,1.85,225.0,3.1,50.0
60017070633,2024-06-03T02:19:43Z,1.48,233.0,4.8,50.0
60017070633,2024-06-03T01:19:43Z,0.71,237.0,5.2,50.0
60017070633,2024-06-03T00:19:43Z,1.72,230.2,4.8,50.0
60017070633,2024-06-02T23:19:43Z,1.12,237.6,5.7,50.0
47001636531,2024-06-03T22:19:43Z,0.95,224.1,4.7,50.0
47001636531,2024-06-03T21:19:43Z,0.92,228.7,3.9,50.0
47001636531,2024-06-03T20:19:43Z,1.67,232.9,5.9,50.0
47001636531,2024-06-03T19:19:43Z,1.4,236.2,4.1,50.0
47001636531,2024-06-03T18:19:43Z,1.42,224.9,4.4,50.0
47001636531,2024-06-03T17:19:43Z,2.0,238.5,5.6,50.0
47001636531,2024-06-03T16:19:43Z,1.47,234.0,4.3,50.0
47001636531,2024-06-03T15:19:43Z,1.36,230.2,4.5,50.0
47001636531,2024-06-03T14:19:43Z,0.53,235.8,3.9,50.0
47001636531,2024-06-03T13:19:43Z,0.93,229.6,3.9,50.0
47001636531,2024-06-03T12:19:43Z,0.89,236.4,4.4,50.0
47001636531,2024-06-03T11:19:43Z,1.02,228.0,3.7,50.0
47001636531,2024-06-03T10:19:43Z,0.78,223.0,5.4,50.0
47001636531,2024-06-03T09:19:43Z,0.87,228.7,4.3,50.0
47001636531,2024-06-03T08:19:43Z,0.55,235.1,5.2,50.0
47001636531,2024-06-03T07:19:43Z,0.9,231.0,3.6,50.0
47001636531,2024-06-03T06:19:43Z,1.03,230.6,3.4,50.0
47001636531,2024-06-03T05:19:43Z,1.85,232.6,3.4,50.0
47001636531,2024-06-03T04:19:43Z,1.5,233.0,4.6,50.0
47001636531,2024-06-03T03:19:43Z,0.94,230.2,3.9,50.0
47001636531,2024-06-03T02:19:43Z,0.89,236.3,3.5,50.0
47001636531,2024-06-03T01:19:43Z,1.8,236.5,3.9,50.0
47001636531,2024-06-03T00:19:43Z,1.39,225.7,4.9,50.0
47001636531,2024-06-02T23:19:43Z,1.65,233.9,3.7,50.0
47001635404,2024-06-03T22:19:43Z,0.57,225.1,5.2,50.0
47001635404,2024-06-03T21:19:43Z,1.05,223.0,4.3,50.0
47001635404,2024-06-03T20:19:43Z,0.66,239.7,4.7,50.0
47001635404,2024-06-03T19:19:43Z,0.77,233.3,4.3,50.0
47001635404,2024-06-03T18:19:43Z,1.57,232.0,3.4,50.0
47001635404,2024-06-03T17:19:43Z,0.69,236.2,5.8,50.0
47001635404,2024-06-03T16:19:43Z,1.02,238.3,3.5,50.0
47001635404,2024-06-03T15:19:43Z,1.27,221.2,4.8,50.0
47001635404,2024-06-03T14:19:43Z,0.53,224.4,5.0,50.0
47001635404,2024-06-03T13:19:43Z,1.93,238.5,5.8,50.0
47001635404,2024-06-03T12:19:43Z,1.45,222.4,4.4,50.0
47001635404,2024-06-03T11:19:43Z,0.79,227.7,5.1,50.0
47001635404,2024-06-03T10:19:43Z,1.14,238.2,4.8,50.0
47001635404,2024-06-03T09:19:43Z,1.49,238.4,5.2,50.0
47001635404,2024-06-03T08:19:43Z,1.44,227.4,4.6,50.0
47001635404,2024-06-03T07:19:43Z,1.6,232.0,3.7,50.0
47001635404,2024-06-03T06:19:43Z,1.15,220.8,3.3,50.0
47001635404,2024-06-03T05:19:43Z,0.81,236.9,3.9,50.0
47001635404,2024-06-03T04:19:43Z,1.56,231.8,4.1,50.0
47001635404,2024-06-03T03:19:43Z,0.65,226.2,4.0,50.0
47001635404,2024-06-03T02:19:43Z,1.81,221.5,5.1,50.0
47001635404,2024-06-03T01:19:43Z,0.87,227.8,4.1,50.0
47001635404,2024-06-03T00:19:43Z,1.06,235.8,4.1,50.0
47001635404,2024-06-02T23:19:43Z,1.75,223.2,4.3,50.0
47001635531,2024-06-03T22:19:43Z,1.06,237.1,4.3,50.0
47001635531,2024-06-03T21:19:43Z,1.92,220.7,5.0,50.0
47001635531,2024-06-03T20:19:43Z,1.24,224.4,4.3,50.0
47001635531,2024-06-03T19:19:43Z,1.35,237.9,3.5,50.0
47001635531,2024-06-03T18:19:43Z,1.15,226.3,4.7,50.0
47001635531,2024-06-03T17:19:43Z,0.61,233.6,5.4,50.0
47001635531,2024-06-03T16:19:43Z,1.65,237.7,3.1,50.0
47001635531,2024-06-03T15:19:43Z,1.98,237.5,3.3,50.0
47001635531,2024-06-03T14:19:43Z,1.29,230.7,5.0,50.0
47001635531,2024-06-03T13:19:43Z,1.51,237.5,5.8,50.0
47001635531,2024-06-03T12:19:43Z,1.49,232.1,3.1,50.0
47001635531,2024-06-03T11:19:43Z,1.17,225.0,4.2,50.0
47001635531,2024-06-03T10:19:43Z,1.07,234.8,3.8,50.0
47001635531,2024-06-03T09:19:43Z,1.69,231.5,4.2,50.0
47001635531,2024-06-03T08:19:43Z,0.97,234.6,4.0,50.0
47001635531,2024-06-03T07:19:43Z,1.72,235.2,5.7,50.0
47001635531,2024-06-03T06:19:43Z,1.84,227.7,3.7,50.0
47001635531,2024-06-03T05:19:43Z,0.82,222.5,4.9,50.0
47001635531,2024-06-03T04:19:43Z,1.4,225.1,4.1,50.0
47001635531,2024-06-03T03:19:43Z,1.65,225.9,3.6,50.0
47001635531,2024-06-03T02:19:43Z,1.45,223.6,5.4,50.0
47001635531,2024-06-03T01:19:43Z,1.43,223.3,5.8,50.0
47001635531,2024-06-03T00:19:43Z,1.49,221.8,4.3,50.0
47001635531,2024-06-02T23:19:43Z,0.64,236.2,5.9,50.0
47001635737,2024-06-03T22:19:43Z,0.63,224.9,5.9,50.0
47001635737,2024-06-03T21:19:43Z,0.62,229.6,5.8,50.0
47001635737,2024-06-03T20:19:43Z,1.53,226.6,5.4,50.0
47001635737,2024-06-03T19:19:43Z,1.47,228.6,5.6,50.0
47001635737,2024-06-03T18:19:43Z,0.56,232.9,4.1,50.0
47001635737,2024-06-03T17:19:43Z,1.25,223.9,3.3,50.0
47001635737,2024-06-03T16:19:43Z,1.26,226.3,5.5,50.0
47001635737,2024-06-03T15:19:43Z,0.92,232.7,4.1,50.0
47001635737,2024-06-03T14:19:43Z,0.78,223.0,3.6,50.0
47001635737,2024-06-03T13:19:43Z,1.32,226.5,5.3,50.0
47001635737,2024-06-03T12:19:43Z,1.63,230.5,3.4,50.0
47001635737,2024-06-03T11:19:43Z,0.56,220.5,4.9,50.0
47001635737,2024-06-03T10:19:43Z,1.18,238.8,4.4,50.0
47001635737,2024-06-03T09:19:43Z,1.14,221.7,4.5,50.0
47001635737,2024-06-03T08:19:43Z,1.88,237.8,6.0,50.0
47001635737,2024-06-03T07:19:43Z,1.42,233.0,5.6,50.0
47001635737,2024-06-03T06:19:43Z,0.73,223.1,5.2,50.0
47001635737,2024-06-03T05:19:43Z,0.71,238.3,5.1,50.0
47001635737,2024-06-03T04:19:43Z,1.8,233.2,3.8,50.0
47001635737,2024-06-03T03:19:43Z,1.76,232.2,3.3,50.0
47001635737,2024-06-03T02:19:43Z,1.57,237.1,5.7,50.0
47001635737,2024-06-03T01:19:43Z,1.25,220.8,4.0,50.0
